"Category","dtp","Measles"
"Japan",102.7,94.3
"Hungary",99.9,99.9
"Slovak Rep.",99.1,98.5
"Luxembourg",99,96
"Poland",99,98.2
"France",99,89
"Greece",99,99
"Finland",99,98
"Czechia",99,98
"Portugal",98,96
"Belgium",98,95
"Sweden",98,97
"Türkiye",97,97
"Netherlands",96.9,95.9
"Spain",96.6,95.2
"Germany",96,96.1
"Iceland",96,93
"Slovenia",96,95
"Italy",96,91
"Mexico",95.2,95.2
"United States",95,92
"Switzerland",95,92
"Israel",95,96
"Lithuania",94.8,96.1
"United Kingdom",94,89
"Ireland",94,90
"Estonia",93.7,95.1
"New Zealand",93.4,91.3
"Norway",93,93
"Chile",92.4,92.8
"Australia",92,93.9
"Latvia",92,93
"Costa Rica",91.5,85
"Denmark",90,85
"Canada",89,90
"Korea",88.3,95.3
"Colombia",88,88.5
"Austria",86,80
