"Alcohol consumption"
"Litres/capita (aged 15 and over)"
"Category","Litres per person"
"Lithuania",13.5
"France",12.3
"Austria",12.1
"Luxembourg",11.9
"Germany",11.6
"Ireland",11.6
"Czechia",11.4
"Estonia",11.4
"Portugal",11.3
"Denmark",10.8
"Hungary",10.8
"Australia",10.4
"Slovenia",10.3
"Belgium",10.3
"United Kingdom",10.1
"Slovak Rep.",10.1
"Poland",10
"Spain",9.8
"Latvia",9.8
"Finland",9.7
"Switzerland",9.7
"New Zealand",9.6
"Netherlands",9.1
"Korea",8.9
"United States",8.6
"Canada",8.4
"Greece",8.3
"Chile",7.6
"Sweden",7.4
"Japan",7.3
"Italy",7
"Iceland",6.8
"Norway",6.6
"Colombia",4.2
"Mexico",4
"Costa Rica",3.7
"Israel",2.8
"Türkiye",1.5
