"Alcohol consumption"
"Litres/capita (aged 15 and over)"
"Category","Litres per person"
"Latvia",12.1
"Czechia",11.6
"Lithuania",11.4
"Austria",11.3
"Poland",10.9
"Estonia",10.8
"Hungary",10.4
"France",10.4
"Slovak Rep.",10.2
"Ireland",10.1
"Slovenia",9.8
"United Kingdom",9.7
"Denmark",9.7
"United States",9.2
"New Zealand",8.7
"Spain",8.7
"Switzerland",8.5
"Finland",8.2
"Canada",8.1
"Korea",7.9
"Netherlands",7.8
"Sweden",7.5
"Iceland",7.4
"Norway",7.2
"Japan",6.7
"Mexico",4.2
"Costa Rica",3.2
"Türkiye",1.2
