"Alcohol consumption"
"Litres/capita (aged 15 and over)"
"Category","Litres per person"
"Lithuania",14.5
"Austria",11.9
"Estonia",11.9
"France",11.6
"Czechia",11.5
"Luxembourg",11.4
"Germany",11.1
"Poland",10.8
"Ireland",10.6
"Hungary",10.6
"Latvia",10.4
"Belgium",10.3
"Denmark",10
"Australia",9.9
"Slovak Rep.",9.9
"Slovenia",9.5
"Portugal",9.5
"United Kingdom",9.4
"Switzerland",9.3
"Spain",9.2
"New Zealand",9.2
"Finland",9.1
"United States",8.8
"Korea",8.7
"Netherlands",8.7
"Canada",8.2
"Greece",7.6
"Japan",7.4
"Italy",7.4
"Sweden",7.3
"Chile",7.2
"Iceland",6.8
"Norway",6.2
"Colombia",4.3
"Mexico",3.8
"Costa Rica",3.1
"Israel",2.9
"Türkiye",1.4
