"Alcohol consumption"
"Litres/capita (aged 15 and over)"
"Category","Litres per person"
"Latvia",11.9
"Spain",11.8
"Austria",11.6
"Czechia",11.6
"Estonia",11.2
"Lithuania",11.2
"France",10.8
"Hungary",10.6
"Ireland",10.2
"Slovenia",10
"United Kingdom",9.9
"Denmark",9.5
"Slovak Rep.",9.5
"New Zealand",8.7
"Netherlands",8.5
"Switzerland",8.4
"Canada",8.1
"Korea",8
"Finland",7.6
"Sweden",7.5
"Japan",6.8
"Norway",6.6
"Costa Rica",3.5
"Türkiye",1.6
