"Alcohol consumption"
"Litres/capita (aged 15 and over)"
"Category","Litres per person"
"Latvia",12.2
"Lithuania",12.1
"Czechia",11.6
"Austria",11.1
"Estonia",11.1
"Poland",11
"Slovenia",10.6
"France",10.6
"Hungary",10.5
"Spain",10.4
"Denmark",10.4
"United Kingdom",10
"Slovak Rep.",9.6
"Ireland",9.5
"United States",9.5
"New Zealand",8.8
"Switzerland",8.5
"Canada",8.3
"Netherlands",8.2
"Finland",8.1
"Korea",7.7
"Sweden",7.6
"Norway",7.4
"Japan",6.6
"Mexico",5.1
"Costa Rica",3.6
"Türkiye",1.4
