"Alcohol consumption"
"Litres/capita (aged 15 and over)"
"Category","Litres per person"
"Lithuania",14.7
"France",12.2
"Austria",12.1
"Estonia",12.1
"Luxembourg",11.8
"Czechia",11.6
"Ireland",11.5
"Germany",11.3
"Hungary",11.1
"Slovenia",11
"Latvia",10.2
"Poland",10.2
"Belgium",10.1
"Slovak Rep.",10.1
"Australia",10
"Denmark",9.8
"Portugal",9.8
"United Kingdom",9.6
"Spain",9.4
"Finland",9.3
"Switzerland",9.3
"New Zealand",9.2
"Netherlands",9.1
"Korea",9
"United States",8.9
"Chile",8.3
"Canada",8.3
"Greece",7.6
"Italy",7.5
"Sweden",7.2
"Japan",7.2
"Iceland",6.8
"Norway",6.2
"Colombia",4.4
"Mexico",3.9
"Costa Rica",3.2
"Israel",2.9
"Türkiye",1.6
