"Alcohol consumption"
"Litres/capita (aged 15 and over)"
"Category","Litres per person"
"Czechia",11.8
"France",11.6
"Hungary",11.4
"Austria",11.3
"Lithuania",11.2
"Luxembourg",11.1
"Latvia",11
"Ireland",11
"Germany",10.9
"Poland",10.7
"Spain",10.4
"Portugal",10.4
"Australia",10.3
"Slovak Rep.",10.1
"Slovenia",10
"Estonia",10
"United Kingdom",9.8
"Denmark",9.7
"Belgium",9.2
"United States",8.9
"New Zealand",8.8
"Korea",8.5
"Switzerland",8.5
"Finland",8.4
"Netherlands",8.3
"Canada",8.2
"Italy",7.8
"Iceland",7.7
"Sweden",7.2
"Japan",7.2
"Greece",6.5
"Chile",6.3
"Norway",6
"Mexico",4.8
"Colombia",4.2
"Costa Rica",3.3
"Israel",3
"Türkiye",1.4
