"Alcohol consumption"
"Litres/capita (aged 15 and over)"
"Category","Litres per person"
"Lithuania",14
"France",11.9
"Slovenia",11.5
"Czechia",11.5
"Luxembourg",11.5
"Austria",11.2
"Germany",11.1
"Latvia",10.8
"Hungary",10.8
"Ireland",10.7
"Estonia",10.6
"Poland",10.5
"Spain",10.4
"Belgium",10.4
"Portugal",10.3
"Slovak Rep.",10.2
"Australia",10.1
"Denmark",9.9
"United Kingdom",9.5
"Korea",9.1
"Switzerland",8.9
"United States",8.8
"New Zealand",8.7
"Finland",8.5
"Netherlands",8.3
"Canada",8
"Chile",7.9
"Iceland",7.7
"Japan",7.2
"Sweden",7.1
"Italy",7.1
"Greece",6.7
"Norway",6
"Mexico",4.3
"Colombia",4.2
"Costa Rica",3.2
"Israel",2.7
"Türkiye",1.4
